puzzle_id,num_words,connection_type,connection_complexity,word_rarity,word_rarity_value,semantic_distance,word_list,timestamp,time_of_day,hints_used,num_players,completions,completion_rate,avg_solve_time,min_solve_time,max_solve_time,median_solve_time,std_solve_time,q1_solve_time,q3_solve_time,difficulty,attempt_count,time_before_first_attempt,hover_count,abandonment_rate,competitiveness_score,frustration_score,satisfaction_score,learning_value,engagement_score,replayability_score,avg_attempts_before_success
P0021,7,homophones,6,extremely_rare,12,2.04,"fruits, instruments, professions",2025-03-26 09:30:37.813665,9,1,80,44,55.0,102.39,53.84,175.72,101.98,19.89,90.51,113.57,hard,4,15.25,13,0.0,4.53,2.23,9.47,5.13,6.33,3.23,1.18
P0022,7,multiple_rules,10,common,2,8.11,"furniture, emotions, fruits",2025-03-23 17:54:37.815088,17,1,82,57,70.0,128.17,59.51,196.17,130.21,27.53,111.78,149.04,hard,2,11.18,15,0.0,8.11,4.92,5.59,10.12,7.54,9.11,1.48
P0023,3,contains_substring,4,somewhat_common,4,2.47,"colors, fruits, countries",2025-03-27 22:08:37.816458,22,1,73,58,80.0,65.13,35.53,95.94,65.15,13.37,55.45,71.56,medium,1,5.79,5,0.0,9.48,4.02,6.98,7.88,8.11,5.29,1.0
P0024,8,compound_words,7,common,2,5.47,"clothing, foods, animals",2025-03-15 17:13:37.817724,17,2,48,37,77.5,97.61,43.86,130.11,96.98,19.45,86.42,114.24,hard,3,5.71,20,0.0,6.69,3.68,7.52,5.26,6.86,2.53,2.7
P0025,4,same_category,1,very_rare,10,5.73,"foods, instruments, furniture",2025-03-26 03:14:37.818814,3,1,56,40,72.5,99.11,38.36,144.14,98.87,21.51,82.27,114.48,hard,1,19.19,8,0.0,5.7,3.68,7.5,5.09,6.43,7.03,1.0
P0026,7,antonym_groups,6,extremely_rare,12,8.29,"vehicles, fruits, animals",2025-03-18 19:16:37.819955,19,0,70,38,55.0,161.06,87.9,266.67,156.9,32.74,136.98,184.62,hard,4,13.02,7,0.0,11.6,11.38,1.0,7.46,6.37,5.8,3.05
P0027,8,antonym_groups,6,uncommon,6,9.84,"fruits, professions, colors",2025-03-29 01:42:37.821317,1,1,57,39,70.0,154.83,89.86,213.01,158.18,25.29,138.66,171.5,hard,1,19.67,24,0.0,3.42,2.52,8.71,3.93,5.82,1.36,1.0
P0028,9,begins_with,2,somewhat_common,4,2.28,"elements, countries, sports",2025-03-29 03:03:37.822379,3,1,50,42,85.0,97.36,48.45,131.8,98.86,20.01,82.07,111.35,hard,1,16.28,27,0.0,10.22,6.63,4.53,1.77,6.48,1.55,1.0
P0029,3,compound_words,7,somewhat_common,4,9.01,"body_parts, animals, foods",2025-04-06 01:58:37.823488,1,1,75,54,72.5,117.62,65.75,178.37,116.6,23.64,103.64,131.28,hard,1,9.52,8,0.0,9.18,1.63,10.3,5.02,8.3,7.08,1.0
P0030,3,antonym_groups,6,rare,8,1.1,"countries, clothing, professions",2025-03-29 05:07:37.824786,5,0,69,44,65.0,97.4,60.87,136.71,95.11,19.58,83.64,113.04,hard,4,12.17,3,0.0,9.9,6.55,5.25,3.78,6.6,7.64,1.7
P0031,6,multiple_rules,10,very_common,1,1.54,"countries, instruments, sports",2025-04-04 04:24:37.826025,4,1,96,69,72.5,99.15,39.47,163.96,98.31,21.25,85.8,113.64,hard,1,8.57,17,0.0,10.21,1.47,10.26,4.59,8.51,6.5,1.0
P0032,5,same_category,1,rare,8,4.53,"professions, furniture, instruments",2025-03-30 12:25:37.827480,12,0,90,69,77.5,86.02,35.64,163.24,86.13,18.73,74.65,98.11,hard,2,9.24,8,1.11,12.76,4.65,6.58,9.2,9.19,9.14,1.7
P0033,8,syllable_count,4,very_rare,10,6.95,"elements, clothing, weather",2025-03-20 19:02:37.828891,19,3,48,31,65.0,101.99,60.59,167.68,97.77,20.75,88.56,112.08,hard,1,15.12,24,0.0,5.03,6.92,4.82,9.45,6.15,7.69,1.0
P0034,9,letter_pattern,5,somewhat_common,4,8.83,"furniture, emotions, weather",2025-04-04 14:14:37.830092,14,2,39,30,77.5,110.88,64.29,172.32,106.92,24.31,97.43,121.22,hard,3,8.06,21,0.0,6.6,4.89,6.87,1.29,5.85,7.76,2.39
P0035,5,same_category,1,uncommon,6,8.49,"furniture, instruments, weather",2025-03-19 08:58:37.830995,8,2,54,44,82.5,88.37,49.5,141.32,85.74,19.04,76.03,100.21,hard,1,11.36,7,0.0,4.78,4.43,7.26,7.2,6.7,5.5,1.0
P0036,4,begins_with,2,extremely_rare,12,8.54,"animals, furniture, colors",2025-03-22 13:06:37.832112,13,3,94,61,65.0,93.23,46.49,155.28,94.21,19.89,77.51,107.3,hard,1,14.5,12,0.0,8.7,4.89,6.95,3.62,6.72,1.29,1.0
P0037,8,syllable_count,4,extremely_rare,12,7.11,"professions, elements, clothing",2025-03-11 03:57:37.833453,3,2,92,55,60.0,126.54,66.87,179.76,126.19,25.4,106.8,142.86,hard,2,13.96,13,0.0,8.69,7.94,2.65,6.14,5.83,1.35,2.0
P0038,7,antonym_groups,6,somewhat_common,4,6.93,"foods, furniture, elements",2025-03-17 19:00:37.834734,19,0,53,39,75.0,126.4,85.85,186.84,127.42,24.95,107.49,144.64,hard,3,13.53,12,0.0,2.5,5.63,5.42,4.49,4.78,4.8,1.15
P0039,5,compound_words,7,very_rare,10,6.01,"body_parts, sports, animals",2025-03-31 10:37:37.835650,10,0,77,44,57.5,124.25,59.61,208.39,122.73,27.23,106.93,139.99,hard,1,6.11,10,0.0,7.0,2.45,8.3,6.83,7.1,3.27,1.0
P0040,3,homophones,6,rare,8,1.92,"professions, foods, instruments",2025-04-09 05:18:37.836749,5,1,51,33,65.0,89.93,50.22,129.59,89.6,18.05,76.9,103.74,hard,1,8.45,9,0.0,10.52,1.47,9.55,4.96,8.31,7.64,1.0
P0041,4,syllable_count,4,rare,8,4.54,"foods, professions, body_parts",2025-03-26 11:19:37.837617,11,2,41,28,70.0,81.32,58.72,117.88,79.74,14.36,70.04,89.24,hard,3,6.17,7,0.0,4.04,6.64,5.11,7.87,5.72,10.12,2.36
P0042,9,compound_words,7,extremely_rare,12,3.42,"emotions, professions, elements",2025-04-10 05:32:37.838406,5,1,45,23,52.5,134.95,83.62,189.66,137.66,24.29,114.55,150.4,hard,3,18.3,25,0.0,8.95,6.13,4.25,3.35,5.68,3.73,2.67
P0043,6,anagrams,9,extremely_rare,12,1.44,"emotions, instruments, vehicles",2025-03-17 13:17:37.839215,13,1,97,48,50.0,106.27,47.04,174.06,106.14,21.56,91.51,120.27,hard,3,12.52,6,0.0,7.6,7.21,3.25,3.37,4.93,9.41,2.19
P0044,7,antonym_groups,6,common,2,3.76,"body_parts, countries, elements",2025-03-31 14:19:37.840473,14,3,71,56,80.0,72.49,44.11,126.07,68.21,18.41,59.13,81.25,medium,4,16.44,7,0.0,5.21,9.44,1.0,3.26,4.12,6.0,1.41
P0045,7,syllable_count,4,very_rare,10,6.52,"animals, colors, foods",2025-03-28 04:09:37.841531,4,3,51,33,65.0,106.91,45.42,178.59,107.93,26.77,93.92,122.43,hard,1,16.47,19,0.0,8.88,2.3,8.78,7.13,8.02,3.84,1.0
P0046,3,anagrams,9,extremely_rare,12,4.23,"animals, foods, elements",2025-03-22 02:33:37.842433,2,1,51,25,50.0,125.38,49.2,176.06,127.26,25.81,110.18,144.8,hard,6,7.42,4,0.0,6.83,9.99,1.0,5.83,4.52,3.56,2.28
P0047,7,begins_with,2,extremely_rare,12,2.07,"clothing, vehicles, animals",2025-03-24 15:12:37.843289,15,1,34,22,65.0,87.92,52.8,124.89,89.17,17.9,75.37,100.73,hard,1,12.03,8,0.0,2.95,2.41,8.36,5.66,5.83,3.51,1.0
P0048,6,compound_words,7,rare,8,7.0,"sports, body_parts, furniture",2025-03-23 04:41:37.843979,4,3,39,24,62.5,108.14,52.27,152.38,107.64,23.65,90.51,127.27,hard,5,16.73,9,0.0,9.49,8.58,2.06,4.22,5.56,8.3,4.84
P0049,8,rhyming_words,7,somewhat_common,4,7.87,"countries, weather, body_parts",2025-04-04 07:37:37.844750,7,1,79,57,72.5,124.54,74.58,176.45,123.76,25.3,107.69,140.5,hard,1,15.36,21,0.0,3.77,2.86,9.04,6.15,6.52,11.06,1.0
P0050,5,metaphorical_relation,9,uncommon,6,5.32,"emotions, sports, foods",2025-03-20 07:04:37.845861,7,0,26,16,62.5,122.74,68.91,175.18,125.19,24.39,112.78,134.38,hard,1,17.79,14,0.0,4.76,8.39,2.7,4.36,4.36,9.12,1.0
P0051,5,antonym_groups,6,very_rare,10,6.75,"professions, fruits, emotions",2025-03-29 11:29:37.846527,11,2,83,49,60.0,100.76,44.46,151.48,100.15,22.03,85.25,117.78,hard,3,7.21,15,0.0,5.63,2.76,8.48,3.49,6.13,5.33,2.13
P0052,7,metaphorical_relation,9,rare,8,4.18,"vehicles, fruits, colors",2025-03-24 18:20:37.847715,18,1,69,39,57.5,119.85,60.75,184.8,119.75,25.43,102.89,141.66,hard,2,17.09,20,0.0,9.04,4.9,6.13,9.09,7.52,8.75,1.76
P0053,5,metaphorical_relation,9,extremely_rare,12,4.4,"furniture, body_parts, instruments",2025-03-18 23:40:37.848715,23,2,31,15,50.0,123.82,85.55,172.37,121.24,24.45,101.56,142.85,hard,2,7.13,8,0.0,1.87,7.2,2.86,8.67,4.15,8.37,1.61
P0054,10,antonym_groups,6,rare,8,3.76,"furniture, body_parts, professions",2025-03-28 07:50:37.849415,7,2,39,25,65.0,104.43,59.62,161.04,103.57,24.92,83.12,115.34,hard,3,8.16,24,0.0,11.83,2.9,7.39,2.44,7.55,8.34,2.59
P0055,6,rhyming_words,7,extremely_rare,12,6.68,"colors, countries, professions",2025-03-16 13:06:37.850177,13,3,81,42,52.5,106.5,51.67,158.47,103.13,22.38,91.67,119.43,hard,2,7.51,15,0.0,8.4,2.48,8.07,9.68,7.93,9.45,1.32
P0056,3,contains_substring,4,extremely_rare,12,7.51,"animals, countries, fruits",2025-03-17 23:51:37.851328,23,2,44,26,60.0,108.15,44.47,164.9,107.63,26.18,90.96,127.69,hard,3,6.22,8,0.0,11.49,9.48,1.3,5.16,6.07,5.51,2.01
P0057,9,homophones,6,rare,8,7.48,"weather, colors, clothing",2025-03-12 05:13:37.852136,5,0,73,47,65.0,166.67,85.68,243.22,168.23,37.79,136.61,199.68,hard,1,13.79,19,0.0,11.41,3.93,7.39,9.17,8.77,8.65,1.0
P0058,5,letter_pattern,5,rare,8,7.81,"clothing, elements, sports",2025-03-15 00:57:37.853172,0,2,38,25,67.5,105.96,70.94,144.56,101.69,21.7,86.37,125.57,hard,4,18.31,6,0.0,2.68,2.45,7.73,5.42,5.56,8.39,1.04
P0059,5,begins_with,2,very_rare,10,2.74,"weather, professions, fruits",2025-03-23 17:21:37.853899,17,3,49,34,70.0,67.63,39.94,102.84,67.24,12.93,60.02,74.16,medium,2,8.51,11,0.0,11.03,4.25,6.22,5.63,7.7,6.02,1.01
P0060,8,compound_words,7,common,2,9.01,"elements, countries, weather",2025-03-16 13:26:37.854759,13,0,73,56,77.5,140.6,72.3,222.68,141.9,28.53,123.75,159.55,hard,3,17.96,24,0.0,10.85,8.89,2.01,8.42,7.09,9.62,2.22
P0061,5,multiple_rules,10,common,2,4.96,"fruits, colors, countries",2025-04-03 21:57:37.855760,21,3,82,57,70.0,78.42,44.95,113.84,78.32,16.87,65.74,91.01,medium,8,15.78,8,0.0,7.6,4.76,6.58,8.05,7.26,6.67,6.72
P0062,10,letter_pattern,5,very_rare,10,1.45,"colors, emotions, countries",2025-04-03 22:07:37.856900,22,2,34,21,62.5,93.85,60.17,131.97,92.93,17.1,79.18,100.78,hard,1,16.85,23,0.0,5.3,7.27,3.49,7.25,5.34,4.3,1.0
P0063,4,compound_words,7,very_rare,10,7.55,"vehicles, clothing, emotions",2025-03-24 17:51:37.857621,17,3,72,41,57.5,99.38,54.1,139.93,102.32,19.26,87.24,113.15,hard,2,11.32,7,0.0,7.98,6.72,3.52,5.76,5.75,7.14,1.52
P0064,10,homophones,6,rare,8,1.65,"colors, countries, foods",2025-03-23 13:11:37.858694,13,2,78,50,65.0,95.41,47.13,159.61,96.33,20.74,82.06,107.59,hard,4,17.66,28,0.0,3.08,6.09,4.27,1.95,3.9,5.84,2.14
P0065,5,multiple_rules,10,very_common,1,6.65,"furniture, emotions, body_parts",2025-03-17 04:14:37.860011,4,1,28,20,72.5,113.35,53.48,178.12,111.06,27.09,99.21,127.78,hard,5,9.97,6,0.0,9.86,7.79,4.03,5.32,6.68,2.55,4.92
P0066,7,antonym_groups,6,somewhat_common,4,8.8,"furniture, animals, weather",2025-04-06 05:46:37.860839,5,3,90,67,75.0,112.41,47.81,170.44,110.69,22.94,97.98,126.32,hard,2,5.02,9,0.0,4.89,3.58,7.22,6.14,6.36,7.48,1.51
P0067,8,compound_words,7,very_common,1,3.82,"sports, foods, instruments",2025-04-09 11:20:37.862171,11,2,100,80,80.0,79.82,34.94,131.31,78.21,18.17,69.6,90.7,medium,5,6.09,13,0.0,10.3,2.58,9.23,12.0,9.86,4.36,1.41
P0068,5,ends_with,3,very_common,1,4.25,"sports, fruits, clothing",2025-04-07 12:11:37.863486,12,3,95,85,90.0,53.44,27.97,81.45,54.08,12.64,42.95,63.2,medium,2,15.28,9,0.0,9.82,7.41,3.23,3.92,6.5,2.63,1.56
P0069,7,ends_with,3,very_rare,10,8.58,"fruits, body_parts, countries",2025-04-07 12:07:37.864772,12,2,77,51,67.5,108.3,61.73,164.77,105.87,22.45,93.91,126.75,hard,2,10.52,8,0.0,11.35,8.7,1.77,8.48,6.98,5.46,1.35
P0070,10,ends_with,3,extremely_rare,12,5.42,"instruments, sports, vehicles",2025-04-10 20:27:37.865885,20,0,24,15,62.5,140.74,101.84,180.35,143.78,23.48,118.87,162.78,hard,1,16.36,18,0.0,6.71,7.76,3.33,5.19,5.3,6.29,1.0
P0071,10,ends_with,3,very_rare,10,4.51,"sports, clothing, emotions",2025-03-28 06:11:37.866513,6,1,58,39,67.5,124.52,63.36,187.22,124.12,28.75,103.64,146.91,hard,2,6.17,25,0.0,8.33,7.66,3.58,4.49,5.82,5.88,1.73
P0072,8,synonym_groups,5,rare,8,9.9,"animals, clothing, weather",2025-03-28 15:16:37.867433,15,3,96,64,67.5,113.14,69.42,183.84,113.31,23.09,98.04,126.06,hard,2,5.61,8,0.0,9.0,1.66,8.95,8.62,8.46,8.69,1.3
P0073,9,same_category,1,common,2,6.06,"countries, sports, foods",2025-03-17 12:43:37.868777,12,3,91,84,92.5,72.34,29.84,115.68,74.1,16.98,60.13,81.95,medium,1,18.4,14,0.0,4.1,8.44,2.88,8.72,5.69,7.47,1.0
P0074,6,homophones,6,uncommon,6,2.03,"furniture, foods, emotions",2025-04-02 09:45:37.870061,9,0,32,22,70.0,92.91,61.44,126.72,89.57,18.15,74.04,107.82,hard,4,9.5,9,0.0,3.41,7.54,2.93,8.02,4.91,8.1,1.27
P0075,3,multiple_rules,10,extremely_rare,12,2.98,"weather, animals, sports",2025-03-20 13:03:37.870730,13,1,72,36,50.0,106.09,37.01,155.51,106.89,20.4,96.5,118.07,hard,8,17.7,8,0.0,11.77,7.03,3.0,1.3,5.69,2.2,2.2
P0076,3,syllable_count,4,rare,8,2.08,"colors, furniture, foods",2025-03-16 05:59:37.871755,5,1,55,38,70.0,81.52,30.17,145.51,82.62,21.08,67.72,94.57,hard,1,15.09,5,0.0,12.39,8.72,2.09,2.19,6.18,1.04,1.0
P0077,10,letter_pattern,5,somewhat_common,4,3.21,"elements, colors, instruments",2025-03-22 13:26:37.872640,13,0,39,30,77.5,106.42,48.59,133.73,106.29,20.54,95.97,125.29,hard,4,13.58,25,0.0,9.09,5.86,6.11,9.95,8.1,5.08,1.94
P0078,5,ends_with,3,very_common,1,8.24,"colors, furniture, vehicles",2025-03-23 12:25:37.873393,12,1,89,80,90.0,88.34,44.69,130.24,89.28,17.64,74.67,99.59,hard,1,8.58,10,0.0,6.25,6.55,3.9,8.19,6.48,6.23,1.0
P0079,6,synonym_groups,5,uncommon,6,6.94,"emotions, elements, weather",2025-04-06 19:00:37.874553,19,3,62,44,72.5,91.02,46.08,161.88,91.72,20.65,79.43,102.32,hard,3,17.3,7,0.0,5.17,5.14,5.43,4.93,5.62,4.26,1.88
P0080,8,begins_with,2,very_rare,10,3.78,"weather, professions, body_parts",2025-04-02 21:33:37.875554,21,1,36,25,70.0,101.54,58.83,151.39,100.18,23.31,82.88,112.89,hard,1,5.06,24,0.0,11.12,8.27,1.93,9.36,7.19,7.9,1.0
P0081,9,contains_substring,4,very_rare,10,8.06,"animals, weather, foods",2025-04-06 00:41:37.876296,0,3,96,62,65.0,112.6,65.99,164.2,112.79,20.6,99.4,124.86,hard,1,18.73,21,0.0,7.93,1.74,9.55,8.77,8.3,8.12,1.0
P0082,6,anagrams,9,very_rare,10,5.92,"vehicles, countries, sports",2025-04-04 21:18:37.877549,21,3,74,38,52.5,105.59,63.61,159.88,104.88,21.22,92.17,119.18,hard,5,9.93,17,0.0,9.83,8.44,3.55,5.18,6.1,6.27,3.24
P0083,4,letter_pattern,5,common,2,1.88,"clothing, furniture, emotions",2025-03-18 22:28:37.878639,22,2,96,79,82.5,57.63,36.31,101.6,57.25,12.55,47.74,64.87,medium,2,17.33,10,0.0,6.76,9.26,2.53,8.89,6.21,6.44,1.25
P0084,8,metaphorical_relation,9,uncommon,6,3.52,"body_parts, clothing, colors",2025-04-07 06:09:37.880068,6,2,92,57,62.5,108.31,62.86,178.24,108.7,22.48,94.83,121.67,hard,5,10.54,10,0.0,8.06,4.1,7.66,9.36,7.84,9.66,2.43
P0085,5,ends_with,3,uncommon,6,4.89,"instruments, weather, body_parts",2025-03-25 00:36:37.881380,0,1,70,54,77.5,83.69,51.54,121.22,81.85,14.84,74.53,92.68,hard,2,14.65,6,0.0,9.94,4.22,7.55,8.35,8.47,3.21,1.17
P0086,9,metaphorical_relation,9,common,2,8.26,"countries, animals, body_parts",2025-04-09 16:23:37.882425,16,3,64,46,72.5,107.73,54.58,152.82,109.29,21.03,96.54,120.63,hard,2,12.93,26,0.0,6.25,4.49,6.53,6.39,6.56,4.4,1.98
P0087,6,same_category,1,very_common,1,3.5,"vehicles, instruments, furniture",2025-03-22 20:14:37.883427,20,3,64,60,95.0,53.19,21.14,84.17,52.85,11.96,44.84,62.54,medium,1,15.35,7,0.0,5.83,7.55,2.81,9.49,6.39,10.61,1.0
P0088,8,same_category,1,uncommon,6,3.42,"countries, clothing, colors",2025-03-23 11:10:37.884426,11,2,100,82,82.5,72.78,33.52,122.54,72.44,16.3,63.34,85.02,medium,2,18.19,23,0.0,6.01,8.94,1.77,2.76,4.54,1.49,1.08
P0089,4,antonym_groups,6,common,2,1.35,"colors, foods, sports",2025-04-01 00:28:37.885718,0,3,26,20,80.0,53.62,32.85,86.39,53.37,11.94,45.62,58.1,medium,1,15.08,5,0.0,4.13,9.2,2.02,8.47,5.14,2.45,1.0
P0090,3,compound_words,7,very_rare,10,2.15,"elements, fruits, emotions",2025-04-10 02:06:37.886388,2,2,55,31,57.5,87.62,51.92,123.94,87.32,14.75,80.63,96.0,hard,2,13.34,3,0.0,5.64,3.5,6.7,6.32,6.12,4.05,1.68
P0091,4,compound_words,7,somewhat_common,4,6.58,"fruits, weather, foods",2025-03-20 07:33:37.887307,7,2,76,55,72.5,88.13,40.37,156.41,88.39,21.82,73.42,99.12,hard,5,12.14,11,0.0,7.31,9.05,2.39,7.76,5.91,7.27,4.18
P0092,5,antonym_groups,6,extremely_rare,12,6.96,"animals, body_parts, emotions",2025-03-27 21:03:37.888447,21,0,91,50,55.0,129.93,57.03,191.8,130.72,31.34,108.19,153.84,hard,1,16.06,10,0.0,7.57,3.18,8.25,1.44,6.13,9.79,1.0
P0093,7,synonym_groups,5,rare,8,8.97,"weather, countries, sports",2025-03-24 15:49:37.889669,15,2,100,67,67.5,115.6,67.94,169.18,117.86,23.81,97.28,131.51,hard,2,6.6,16,0.0,4.4,1.01,9.86,1.66,5.96,1.68,1.87
P0094,8,multiple_rules,10,rare,8,6.94,"weather, foods, countries",2025-03-20 20:26:37.891069,20,3,44,24,55.0,122.3,71.26,176.01,119.89,26.35,102.68,136.06,hard,8,18.16,17,0.0,6.16,11.02,1.0,2.4,3.73,2.3,4.86
P0095,7,anagrams,9,rare,8,2.34,"weather, elements, professions",2025-04-04 23:04:37.891875,23,1,29,16,57.5,119.74,78.66,177.71,129.7,22.37,98.54,133.01,hard,7,11.92,14,0.0,1.04,4.87,6.75,7.04,4.89,8.44,3.31
P0096,8,rhyming_words,7,uncommon,6,3.17,"furniture, clothing, colors",2025-04-08 00:34:37.892550,0,3,41,27,67.5,90.75,59.98,132.48,92.12,19.38,74.57,102.68,hard,3,9.43,11,0.0,9.72,2.91,9.07,10.01,8.99,2.51,2.45
P0097,9,syllable_count,4,extremely_rare,12,1.73,"body_parts, professions, sports",2025-04-07 15:24:37.893397,15,0,23,13,60.0,111.53,77.26,170.59,110.7,21.96,99.33,119.32,hard,3,14.45,16,0.0,1.42,6.44,4.59,3.88,3.78,5.5,1.52
P0098,4,contains_substring,4,somewhat_common,4,3.86,"countries, emotions, furniture",2025-03-20 22:03:37.893989,22,3,87,69,80.0,62.77,30.36,105.16,61.86,14.87,54.11,72.49,medium,3,18.33,11,0.0,3.52,11.15,1.0,3.83,3.72,4.1,2.22
P0099,10,same_category,1,common,2,1.33,"professions, animals, instruments",2025-04-02 02:12:37.895223,2,3,92,85,92.5,72.04,37.88,105.18,71.09,14.93,60.94,82.28,medium,2,8.98,21,0.0,11.09,2.38,8.18,9.8,9.59,4.17,1.03
P0100,6,compound_words,7,very_rare,10,8.09,"countries, professions, animals",2025-03-12 02:23:37.896477,2,3,36,20,57.5,123.57,62.39,183.95,121.01,29.05,106.83,141.29,hard,5,17.05,8,0.0,9.13,7.75,3.63,3.55,5.69,6.42,3.85
